Opportunity_ID,Target
10689,0.39
10690,0.37
10691,0.3
10692,0.36
10693,0.28
10694,0.28
10695,0.35
10696,0.38
10697,0.3
10698,0.28
10699,0.3
10700,0.3
10701,0.29
10702,0.27
10703,0.3
10704,0.31
10705,0.32
10706,0.28
10707,0.31
10708,0.31
10709,0.37
10710,0.18
10711,0.18
10712,0.15
10713,0.18
10714,0.29
10715,0.23
10716,0.2
10717,0.29
10718,0.33
10719,0.32
10720,0.33
10721,0.33
10722,0.26
10723,0.19
10724,0.31
10725,0.34
10726,0.31
10727,0.17
10728,0.36
10729,0.14
10730,0.27
10731,0.17
10732,0.32
10733,0.31
10734,0.17
10735,0.14
10736,0.18
10737,0.35
10738,0.41
10739,0.11
10740,0.27
10741,0.16
10742,0.27
10743,0.32
10744,0.32
10745,0.32
10746,0.32
10747,0.32
10748,0.33
10749,0.35
10750,0.17
10751,0.37
10752,0.37
10753,0.35
10754,0.38
10755,0.36
10756,0.34
10757,0.17
10758,0.27
10759,0.19
10760,0.35
10761,0.33
10762,0.31
10763,0.29
10764,0.32
10765,0.22
10766,0.4
10767,0.4
10768,0.21
10769,0.23
10770,0.4
10771,0.25
10772,0.29
10773,0.42
10774,0.36
10775,0.37
10776,0.36
10777,0.4
10778,0.33
10779,0.45
10780,0.33
10781,0.36
10782,0.19
10783,0.17
10784,0.19
10785,0.17
10786,0.44
10787,0.32
10788,0.19
10789,0.36
10790,0.34
10791,0.18
10792,0.33
10793,0.27
10794,0.27
10795,0.33
10796,0.33
10797,0.29
10798,0.36
10799,0.35
10800,0.33
10801,0.39
10802,0.34
10803,0.34
10804,0.42
10805,0.33
10806,0.37
10807,0.3
10808,0.36
10809,0.31
10810,0.41
10811,0.32
10812,0.43
10813,0.36
10814,0.37
10815,0.21
10816,0.17
10817,0.19
10818,0.23
10819,0.2
10820,0.34
10821,0.19
10822,0.35
10823,0.16
10824,0.35
10825,0.36
10826,0.15
10827,0.34
10828,0.3
10829,0.35
10830,0.35
10831,0.37
10832,0.29
10833,0.31
10834,0.34
10835,0.34
10836,0.4
10837,0.37
10838,0.34
10839,0.16
10840,0.33
10841,0.25
10842,0.14
10843,0.15
10844,0.37
10845,0.36
10846,0.36
10847,0.19
10848,0.2
10849,0.2
10850,0.2
10851,0.24
10852,0.2
10853,0.32
10854,0.32
10855,0.36
10856,0.29
10857,0.15
10858,0.19
10859,0.35
10860,0.31
10861,0.42
10862,0.33
10863,0.35
10864,0.37
10865,0.18
10866,0.37
10867,0.34
10868,0.27
10869,0.3
10870,0.29
10871,0.36
10872,0.35
10873,0.34
10874,0.38
10875,0.32
10876,0.32
10877,0.18
10878,0.28
10879,0.37
10880,0.37
10881,0.26
10882,0.31
10883,0.3
10884,0.38
10885,0.35
10886,0.31
10887,0.38
10888,0.32
10889,0.25
10890,0.35
10891,0.33
10892,0.34
10893,0.34
10894,0.32
10895,0.37
10896,0.4
10897,0.38
10898,0.26
10899,0.36
10900,0.37
10901,0.35
10902,0.19
10903,0.37
10904,0.36
10905,0.41
10906,0.29
10907,0.32
10908,0.3
10909,0.2
10910,0.2
10911,0.19
10912,0.39
10913,0.44
10914,0.3
10915,0.42
10916,0.19
10917,0.18
10918,0.34
10919,0.2
10920,0.43
10921,0.34
10922,0.35
10923,0.33
10924,0.31
10925,0.35
10926,0.44
10927,0.35
10928,0.35
10929,0.36
10930,0.42
10931,0.45
10932,0.38
10933,0.37
10934,0.42
10935,0.4
10936,0.43
10937,0.33
10938,0.31
10939,0.39
10940,0.17
10941,0.44
10942,0.47
10943,0.44
10944,0.42
10945,0.36
10946,0.39
10947,0.34
10948,0.35
10949,0.39
10950,0.38
10951,0.18
10952,0.16
10953,0.29
10954,0.16
10955,0.32
10956,0.32
10957,0.28
10958,0.28
10959,0.35
10960,0.21
10961,0.27
10962,0.34
10963,0.14
10964,0.18
10965,0.22
10966,0.31
10967,0.32
10968,0.15
10969,0.31
10970,0.18
10971,0.16
10972,0.34
10973,0.34
10974,0.16
10975,0.17
10976,0.21
10977,0.29
10978,0.16
10979,0.21
10980,0.16
10981,0.18
10982,0.17
10983,0.18
10984,0.36
10985,0.37
10986,0.41
10987,0.41
10988,0.31
10989,0.32
10990,0.4
10991,0.34
10992,0.34
10993,0.38
10994,0.31
10995,0.35
10996,0.21
10997,0.17
10998,0.4
10999,0.25
11000,0.33
11001,0.38
11002,0.41
11003,0.39
11004,0.22
11005,0.38
11006,0.3
11007,0.35
11008,0.33
11009,0.27
11010,0.21
11011,0.41
11012,0.4
11013,0.31
11014,0.39
11015,0.31
11016,0.18
11017,0.19
11018,0.19
11019,0.38
11020,0.33
11021,0.19
11022,0.47
11023,0.41
11024,0.25
11025,0.29
11026,0.29
11027,0.25
11028,0.33
11029,0.29
11030,0.32
11031,0.13
11032,0.31
11033,0.16
11034,0.27
11035,0.35
11036,0.35
11037,0.15
11038,0.29
11039,0.34
11040,0.39
11041,0.41
11042,0.32
11043,0.4
11044,0.18
11045,0.3
11046,0.37
11047,0.36
11048,0.38
11049,0.17
11050,0.24
11051,0.23
11052,0.27
11053,0.34
11054,0.4
11055,0.35
11056,0.18
11057,0.23
11058,0.37
11059,0.32
11060,0.36
11061,0.3
11062,0.32
11063,0.42
11064,0.42
11065,0.35
11066,0.28
11067,0.28
11068,0.29
11069,0.41
11070,0.29
11071,0.37
11072,0.38
11073,0.4
11074,0.4
11075,0.21
11076,0.37
11077,0.34
11078,0.37
11079,0.19
11080,0.33
11081,0.17
11082,0.23
11083,0.27
11084,0.23
11085,0.38
11086,0.39
11087,0.36
11088,0.45
11089,0.34
11090,0.34
11091,0.34
11092,0.35
11093,0.32
11094,0.36
11095,0.32
11096,0.4
11097,0.4
11098,0.34
11099,0.31
11100,0.32
11101,0.35
11102,0.34
11103,0.21
11104,0.31
11105,0.16
11106,0.34
11107,0.25
11108,0.19
11109,0.19
11110,0.28
11222,0.34
11223,0.41
11224,0.41
11225,0.17
11226,0.35
11227,0.34
11228,0.37
11229,0.33
11230,0.4
11231,0.4
11232,0.4
11233,0.32
11234,0.36
11235,0.35
11236,0.4
11237,0.38
11238,0.34
11239,0.38
11240,0.35
11241,0.42
11242,0.33
11243,0.33
11244,0.28
11245,0.18
11246,0.32
11247,0.12
11248,0.4
11249,0.2
11250,0.17
11251,0.31
11252,0.15
11253,0.33
11254,0.39
11255,0.36
11256,0.4
11257,0.22
11258,0.31
11259,0.21
11260,0.22
11261,0.24
11262,0.17
11263,0.2
11264,0.19
11265,0.13
11266,0.29
11267,0.3
11268,0.29
11269,0.23
11270,0.4
11271,0.3
11272,0.28
11273,0.36
11274,0.37
11275,0.39
11276,0.44
11277,0.44
11278,0.14
11279,0.31
11280,0.41
11281,0.41
