Opportunity_ID,Target
10689,0.61
10690,0.5
10691,0.74
10692,0.57
10693,0.83
10694,0.83
10695,0.57
10696,0.49
10697,0.6
10698,0.58
10699,0.63
10700,0.55
10701,0.54
10702,0.69
10703,0.53
10704,0.92
10705,0.8
10706,0.46
10707,0.51
10708,0.49
10709,0.88
10710,0.78
10711,0.82
10712,0.92
10713,0.8
10714,0.51
10715,0.76
10716,0.69
10717,0.6
10718,0.77
10719,0.77
10720,0.4
10721,0.51
10722,0.85
10723,0.69
10724,0.89
10725,0.91
10726,0.63
10727,0.61
10728,0.93
10729,0.59
10730,0.89
10731,0.13
10732,0.62
10733,0.63
10734,0.56
10735,0.82
10736,0.79
10737,0.77
10738,0.58
10739,0.5
10740,0.38
10741,0.84
10742,0.79
10743,0.47
10744,0.41
10745,0.41
10746,0.44
10747,0.44
10748,0.73
10749,0.72
10750,0.74
10751,0.61
10752,0.61
10753,0.61
10754,0.6
10755,0.75
10756,0.86
10757,0.01
10758,0.03
10759,0.02
10760,0.04
10761,0.88
10762,0.77
10763,0.74
10764,0.71
10765,0.46
10766,0.81
10767,0.81
10768,0.47
10769,0.48
10770,0.44
10771,0.11
10772,0.74
10773,0.76
10774,0.48
10775,0.36
10776,0.4
10777,0.67
10778,0.77
10779,0.7
10780,0.56
10781,0.7
10782,0.55
10783,0.24
10784,0.78
10785,0.65
10786,0.04
10787,0.77
10788,0.69
10789,0.17
10790,0.48
10791,0.82
10792,0.49
10793,0.89
10794,0.89
10795,0.71
10796,0.58
10797,0.6
10798,0.57
10799,0.57
10800,0.56
10801,0.52
10802,0.57
10803,0.03
10804,0.84
10805,0.06
10806,0.71
10807,0.53
10808,0.46
10809,0.73
10810,0.02
10811,0.06
10812,0.7
10813,0.03
10814,0.02
10815,0.81
10816,0.44
10817,0.25
10818,0.69
10819,0.01
10820,0.7
10821,0.02
10822,0.0
10823,0.89
10824,0.16
10825,0.54
10826,0.72
10827,0.91
10828,0.7
10829,0.78
10830,0.64
10831,0.73
10832,0.55
10833,0.53
10834,0.03
10835,0.49
10836,0.76
10837,0.57
10838,0.68
10839,0.07
10840,0.45
10841,0.07
10842,0.57
10843,0.57
10844,0.72
10845,0.65
10846,0.56
10847,0.72
10848,0.02
10849,0.78
10850,0.76
10851,0.3
10852,0.73
10853,0.52
10854,0.62
10855,0.65
10856,0.52
10857,0.59
10858,0.74
10859,0.04
10860,0.19
10861,0.05
10862,0.37
10863,0.41
10864,0.86
10865,0.8
10866,0.01
10867,0.17
10868,0.84
10869,0.19
10870,0.67
10871,0.87
10872,0.04
10873,0.46
10874,0.81
10875,0.82
10876,0.8
10877,0.77
10878,0.53
10879,0.44
10880,0.36
10881,0.79
10882,0.41
10883,0.2
10884,0.3
10885,0.82
10886,0.71
10887,0.21
10888,0.8
10889,0.74
10890,0.8
10891,0.72
10892,0.81
10893,0.07
10894,0.78
10895,0.84
10896,0.79
10897,0.8
10898,0.19
10899,0.71
10900,0.63
10901,0.78
10902,0.49
10903,0.01
10904,0.72
10905,0.77
10906,0.79
10907,0.72
10908,0.02
10909,0.85
10910,0.04
10911,0.72
10912,0.58
10913,0.73
10914,0.04
10915,0.88
10916,0.65
10917,0.36
10918,0.78
10919,0.19
10920,0.75
10921,0.64
10922,0.36
10923,0.75
10924,0.68
10925,0.6
10926,0.06
10927,0.02
10928,0.66
10929,0.65
10930,0.57
10931,0.8
10932,0.91
10933,0.58
10934,0.53
10935,0.5
10936,0.66
10937,0.03
10938,0.28
10939,0.6
10940,0.72
10941,0.02
10942,0.0
10943,0.06
10944,0.01
10945,0.3
10946,0.78
10947,0.44
10948,0.49
10949,0.51
10950,0.0
10951,0.02
10952,0.63
10953,0.31
10954,0.62
10955,0.19
10956,0.18
10957,0.2
10958,0.14
10959,0.02
10960,0.71
10961,0.71
10962,0.06
10963,0.02
10964,0.79
10965,0.05
10966,0.72
10967,0.86
10968,0.04
10969,0.82
10970,0.3
10971,0.62
10972,0.33
10973,0.22
10974,0.43
10975,0.68
10976,0.79
10977,0.7
10978,0.67
10979,0.77
10980,0.58
10981,0.57
10982,0.39
10983,0.38
10984,0.17
10985,0.03
10986,0.8
10987,0.81
10988,0.3
10989,0.41
10990,0.26
10991,0.34
10992,0.01
10993,0.77
10994,0.01
10995,0.65
10996,0.69
10997,0.42
10998,0.89
10999,0.57
11000,0.01
11001,0.41
11002,0.57
11003,0.08
11004,0.81
11005,0.3
11006,0.38
11007,0.7
11008,0.2
11009,0.9
11010,0.89
11011,0.56
11012,0.65
11013,0.19
11014,0.52
11015,0.51
11016,0.01
11017,0.61
11018,0.29
11019,0.74
11020,0.19
11021,0.63
11022,0.66
11023,0.73
11024,0.18
11025,0.89
11026,0.89
11027,0.72
11028,0.48
11029,0.69
11030,0.35
11031,0.83
11032,0.49
11033,0.89
11034,0.02
11035,0.05
11036,0.59
11037,0.79
11038,0.74
11039,0.73
11040,0.05
11041,0.85
11042,0.72
11043,0.56
11044,0.46
11045,0.04
11046,0.56
11047,0.61
11048,0.59
11049,0.57
11050,0.57
11051,0.72
11052,0.03
11053,0.04
11054,0.03
11055,0.54
11056,0.01
11057,0.41
11058,0.01
11059,0.37
11060,0.44
11061,0.37
11062,0.02
11063,0.8
11064,0.8
11065,0.8
11066,0.84
11067,0.69
11068,0.69
11069,0.09
11070,0.85
11071,0.0
11072,0.7
11073,0.73
11074,0.67
11075,0.51
11076,0.75
11077,0.6
11078,0.41
11079,0.62
11080,0.51
11081,0.73
11082,0.0
11083,0.02
11084,0.03
11085,0.54
11086,0.52
11087,0.83
11088,0.01
11089,0.06
11090,0.0
11091,0.78
11092,0.67
11093,0.6
11094,0.69
11095,0.83
11096,0.86
11097,0.25
11098,0.14
11099,0.58
11100,0.64
11101,0.59
11102,0.54
11103,0.54
11104,0.78
11105,0.11
11106,0.0
11107,0.03
11108,0.85
11109,0.61
11110,0.77
11222,0.64
11223,0.81
11224,0.79
11225,0.01
11226,0.81
11227,0.02
11228,0.41
11229,0.81
11230,0.6
11231,0.8
11232,0.66
11233,0.89
11234,0.86
11235,0.07
11236,0.86
11237,0.23
11238,0.73
11239,0.03
11240,0.0
11241,0.68
11242,0.81
11243,0.35
11244,0.03
11245,0.79
11246,0.0
11247,0.11
11248,0.45
11249,0.74
11250,0.16
11251,0.63
11252,0.36
11253,0.56
11254,0.54
11255,0.89
11256,0.91
11257,0.06
11258,0.03
11259,0.92
11260,0.87
11261,0.42
11262,0.84
11263,0.86
11264,0.61
11265,0.07
11266,0.01
11267,0.74
11268,0.56
11269,0.28
11270,0.27
11271,0.35
11272,0.59
11273,0.74
11274,0.82
11275,0.81
11276,0.8
11277,0.78
11278,0.53
11279,0.16
11280,0.41
11281,0.35
11282,0.63
11283,0.14
11284,0.15
11285,0.5
11286,0.37
11287,0.94
11288,0.81
11289,0.6
11290,0.52
11291,0.34
11292,0.01
11293,0.71
11294,0.05
11295,0.55
11296,0.05
11297,0.0
11298,0.47
11299,0.92
11300,0.39
11301,0.61
11302,0.42
11303,0.84
11304,0.49
11305,0.32
11306,0.04
11307,0.01
11308,0.84
11309,0.6
11310,0.63
11311,0.6
11312,0.46
11313,0.59
11314,0.0
11315,0.46
11316,0.72
11317,0.18
11318,0.7
11319,0.82
11320,0.64
11321,0.45
11322,0.68
11323,0.65
11324,0.83
11325,0.07
11326,0.1
11327,0.1
11328,0.6
11329,0.01
11330,0.01
11331,0.32
11332,0.56
11333,0.84
11334,0.66
11335,0.71
11336,0.45
11337,0.61
11338,0.69
11339,0.57
11340,0.41
11341,0.01
11342,0.65
11343,0.47
11344,0.54
11345,0.61
11346,0.02
11347,0.56
11348,0.91
11349,0.67
11350,0.0
11351,0.02
11352,0.68
11353,0.67
11354,0.03
11355,0.0
11356,0.54
11357,0.66
11358,0.02
11359,0.01
11360,0.35
11361,0.46
11362,0.6
11363,0.05
11364,0.02
11365,0.94
11366,0.89
11367,0.01
11368,0.58
11369,0.05
11370,0.73
11371,0.74
11372,0.58
11373,0.01
11374,0.33
11375,0.63
11376,0.31
11377,0.27
11378,0.38
11379,0.75
11380,0.57
11381,0.48
11382,0.8
11383,0.83
11384,0.82
11385,0.0
11386,0.53
11387,0.24
11388,0.88
11389,0.05
11390,0.0
11391,0.0
11392,0.0
11393,0.82
11394,0.82
11395,0.43
11396,0.74
11397,0.52
11398,0.53
11399,0.52
11400,0.76
11401,0.51
11402,0.53
11403,0.19
11404,0.01
11405,0.01
11406,0.06
11407,0.73
11408,0.63
11409,0.33
11410,0.47
11411,0.61
11412,0.81
11413,0.69
11414,0.91
11415,0.02
11416,0.83
11417,0.68
11418,0.23
11419,0.78
11420,0.54
11421,0.04
11422,0.01
11423,0.54
11424,0.75
11425,0.75
11426,0.75
11427,0.66
11428,0.03
11429,0.03
11430,0.03
11431,0.05
11432,0.05
11433,0.04
11434,0.04
11435,0.67
11436,0.14
11437,0.39
11438,0.07
11439,0.79
11440,0.76
11441,0.55
11442,0.03
11443,0.5
11444,0.24
11445,0.86
11446,0.76
11447,0.01
11448,0.01
11449,0.02
11450,0.45
11451,0.5
11452,0.38
11453,0.33
11454,0.3
11455,0.02
11456,0.7
11457,0.41
11458,0.17
11459,0.0
11460,0.09
11461,0.23
11462,0.27
11463,0.21
11464,0.26
11465,0.32
11466,0.34
11467,0.35
11468,0.33
11469,0.2
11470,0.6
11471,0.72
11472,0.64
11473,0.83
11474,0.63
11475,0.74
11476,0.59
11477,0.65
11478,0.94
11479,0.55
11480,0.26
11481,0.13
11482,0.15
11483,0.01
11484,0.0
11485,0.08
11486,0.08
11487,0.02
11488,0.9
11489,0.76
