Learning Rate 0.01, 500 estimators, Ultimos 1000 datos como validation
Score: 0.382773 --- Iter: 371 --- ntree-limit: 372
[0]     validation_0-logloss:0.68948
[1]     validation_0-logloss:0.68594
[2]     validation_0-logloss:0.68242
[3]     validation_0-logloss:0.67892
[4]     validation_0-logloss:0.67552
[5]     validation_0-logloss:0.67220
[6]     validation_0-logloss:0.66901
[7]     validation_0-logloss:0.66587
[8]     validation_0-logloss:0.66283
[9]     validation_0-logloss:0.65995
[10]    validation_0-logloss:0.65707
[11]    validation_0-logloss:0.65415
[12]    validation_0-logloss:0.65133
[13]    validation_0-logloss:0.64828
[14]    validation_0-logloss:0.64544
[15]    validation_0-logloss:0.64248
[16]    validation_0-logloss:0.63956
[17]    validation_0-logloss:0.63680
[18]    validation_0-logloss:0.63415
[19]    validation_0-logloss:0.63156
[20]    validation_0-logloss:0.62900
[21]    validation_0-logloss:0.62638
[22]    validation_0-logloss:0.62400
[23]    validation_0-logloss:0.62150
[24]    validation_0-logloss:0.61919
[25]    validation_0-logloss:0.61659
[26]    validation_0-logloss:0.61423
[27]    validation_0-logloss:0.61214
[28]    validation_0-logloss:0.60994
[29]    validation_0-logloss:0.60803
[30]    validation_0-logloss:0.60586
[31]    validation_0-logloss:0.60388
[32]    validation_0-logloss:0.60188
[33]    validation_0-logloss:0.59980
[34]    validation_0-logloss:0.59791
[35]    validation_0-logloss:0.59581
[36]    validation_0-logloss:0.59384
[37]    validation_0-logloss:0.59186
[38]    validation_0-logloss:0.58999
[39]    validation_0-logloss:0.58812
[40]    validation_0-logloss:0.58629
[41]    validation_0-logloss:0.58461
[42]    validation_0-logloss:0.58286
[43]    validation_0-logloss:0.58119
[44]    validation_0-logloss:0.57953
[45]    validation_0-logloss:0.57790
[46]    validation_0-logloss:0.57628
[47]    validation_0-logloss:0.57472
[48]    validation_0-logloss:0.57323
[49]    validation_0-logloss:0.57176
[50]    validation_0-logloss:0.57047
[51]    validation_0-logloss:0.56874
[52]    validation_0-logloss:0.56731
[53]    validation_0-logloss:0.56569
[54]    validation_0-logloss:0.56423
[55]    validation_0-logloss:0.56255
[56]    validation_0-logloss:0.56123
[57]    validation_0-logloss:0.55962
[58]    validation_0-logloss:0.55803
[59]    validation_0-logloss:0.55667
[60]    validation_0-logloss:0.55520
[61]    validation_0-logloss:0.55395
[62]    validation_0-logloss:0.55226
[63]    validation_0-logloss:0.55094
[64]    validation_0-logloss:0.54983
[65]    validation_0-logloss:0.54856
[66]    validation_0-logloss:0.54712
[67]    validation_0-logloss:0.54584
[68]    validation_0-logloss:0.54489
[69]    validation_0-logloss:0.54354
[70]    validation_0-logloss:0.54232
[71]    validation_0-logloss:0.54139
[72]    validation_0-logloss:0.54022
[73]    validation_0-logloss:0.53924
[74]    validation_0-logloss:0.53830
[75]    validation_0-logloss:0.53712
[76]    validation_0-logloss:0.53613
[77]    validation_0-logloss:0.53500
[78]    validation_0-logloss:0.53347
[79]    validation_0-logloss:0.53243
[80]    validation_0-logloss:0.53155
[81]    validation_0-logloss:0.53067
[82]    validation_0-logloss:0.52934
[83]    validation_0-logloss:0.52797
[84]    validation_0-logloss:0.52659
[85]    validation_0-logloss:0.52546
[86]    validation_0-logloss:0.52427
[87]    validation_0-logloss:0.52294
[88]    validation_0-logloss:0.52170
[89]    validation_0-logloss:0.52078
[90]    validation_0-logloss:0.51957
[91]    validation_0-logloss:0.51858
[92]    validation_0-logloss:0.51724
[93]    validation_0-logloss:0.51580
[94]    validation_0-logloss:0.51449
[95]    validation_0-logloss:0.51310
[96]    validation_0-logloss:0.51186
[97]    validation_0-logloss:0.51045
[98]    validation_0-logloss:0.50926
[99]    validation_0-logloss:0.50795
[100]   validation_0-logloss:0.50660
[101]   validation_0-logloss:0.50536
[102]   validation_0-logloss:0.50419
[103]   validation_0-logloss:0.50291
[104]   validation_0-logloss:0.50185
[105]   validation_0-logloss:0.50065
[106]   validation_0-logloss:0.49955
[107]   validation_0-logloss:0.49842
[108]   validation_0-logloss:0.49735
[109]   validation_0-logloss:0.49624
[110]   validation_0-logloss:0.49516
[111]   validation_0-logloss:0.49409
[112]   validation_0-logloss:0.49307
[113]   validation_0-logloss:0.49205
[114]   validation_0-logloss:0.49107
[115]   validation_0-logloss:0.49041
[116]   validation_0-logloss:0.48960
[117]   validation_0-logloss:0.48867
[118]   validation_0-logloss:0.48782
[119]   validation_0-logloss:0.48690
[120]   validation_0-logloss:0.48619
[121]   validation_0-logloss:0.48542
[122]   validation_0-logloss:0.48461
[123]   validation_0-logloss:0.48375
[124]   validation_0-logloss:0.48289
[125]   validation_0-logloss:0.48219
[126]   validation_0-logloss:0.48139
[127]   validation_0-logloss:0.48013
[128]   validation_0-logloss:0.47884
[129]   validation_0-logloss:0.47755
[130]   validation_0-logloss:0.47632
[131]   validation_0-logloss:0.47516
[132]   validation_0-logloss:0.47404
[133]   validation_0-logloss:0.47314
[134]   validation_0-logloss:0.47201
[135]   validation_0-logloss:0.47122
[136]   validation_0-logloss:0.47037
[137]   validation_0-logloss:0.46932
[138]   validation_0-logloss:0.46851
[139]   validation_0-logloss:0.46737
[140]   validation_0-logloss:0.46621
[141]   validation_0-logloss:0.46536
[142]   validation_0-logloss:0.46406
[143]   validation_0-logloss:0.46321
[144]   validation_0-logloss:0.46220
[145]   validation_0-logloss:0.46092
[146]   validation_0-logloss:0.45982
[147]   validation_0-logloss:0.45894
[148]   validation_0-logloss:0.45793
[149]   validation_0-logloss:0.45673
[150]   validation_0-logloss:0.45572
[151]   validation_0-logloss:0.45462
[152]   validation_0-logloss:0.45362
[153]   validation_0-logloss:0.45245
[154]   validation_0-logloss:0.45144
[155]   validation_0-logloss:0.45031
[156]   validation_0-logloss:0.44918
[157]   validation_0-logloss:0.44881
[158]   validation_0-logloss:0.44809
[159]   validation_0-logloss:0.44741
[160]   validation_0-logloss:0.44702
[161]   validation_0-logloss:0.44647
[162]   validation_0-logloss:0.44608
[163]   validation_0-logloss:0.44590
[164]   validation_0-logloss:0.44495
[165]   validation_0-logloss:0.44466
[166]   validation_0-logloss:0.44403
[167]   validation_0-logloss:0.44364
[168]   validation_0-logloss:0.44305
[169]   validation_0-logloss:0.44278
[170]   validation_0-logloss:0.44239
[171]   validation_0-logloss:0.44224
[172]   validation_0-logloss:0.44200
[173]   validation_0-logloss:0.44189
[174]   validation_0-logloss:0.44118
[175]   validation_0-logloss:0.44055
[176]   validation_0-logloss:0.44046
[177]   validation_0-logloss:0.43971
[178]   validation_0-logloss:0.43948
[179]   validation_0-logloss:0.43921
[180]   validation_0-logloss:0.43883
[181]   validation_0-logloss:0.43865
[182]   validation_0-logloss:0.43817
[183]   validation_0-logloss:0.43766
[184]   validation_0-logloss:0.43736
[185]   validation_0-logloss:0.43710
[186]   validation_0-logloss:0.43677
[187]   validation_0-logloss:0.43666
[188]   validation_0-logloss:0.43619
[189]   validation_0-logloss:0.43548
[190]   validation_0-logloss:0.43527
[191]   validation_0-logloss:0.43498
[192]   validation_0-logloss:0.43439
[193]   validation_0-logloss:0.43417
[194]   validation_0-logloss:0.43361
[195]   validation_0-logloss:0.43306
[196]   validation_0-logloss:0.43259
[197]   validation_0-logloss:0.43215
[198]   validation_0-logloss:0.43162
[199]   validation_0-logloss:0.43147
[200]   validation_0-logloss:0.43088
[201]   validation_0-logloss:0.43041
[202]   validation_0-logloss:0.43011
[203]   validation_0-logloss:0.42966
[204]   validation_0-logloss:0.42913
[205]   validation_0-logloss:0.42856
[206]   validation_0-logloss:0.42822
[207]   validation_0-logloss:0.42765
[208]   validation_0-logloss:0.42688
[209]   validation_0-logloss:0.42638
[210]   validation_0-logloss:0.42576
[211]   validation_0-logloss:0.42516
[212]   validation_0-logloss:0.42456
[213]   validation_0-logloss:0.42399
[214]   validation_0-logloss:0.42340
[215]   validation_0-logloss:0.42291
[216]   validation_0-logloss:0.42257
[217]   validation_0-logloss:0.42223
[218]   validation_0-logloss:0.42156
[219]   validation_0-logloss:0.42101
[220]   validation_0-logloss:0.42039
[221]   validation_0-logloss:0.42001
[222]   validation_0-logloss:0.41979
[223]   validation_0-logloss:0.41929
[224]   validation_0-logloss:0.41893
[225]   validation_0-logloss:0.41855
[226]   validation_0-logloss:0.41809
[227]   validation_0-logloss:0.41807
[228]   validation_0-logloss:0.41770
[229]   validation_0-logloss:0.41745
[230]   validation_0-logloss:0.41732
[231]   validation_0-logloss:0.41700
[232]   validation_0-logloss:0.41658
[233]   validation_0-logloss:0.41591
[234]   validation_0-logloss:0.41538
[235]   validation_0-logloss:0.41487
[236]   validation_0-logloss:0.41451
[237]   validation_0-logloss:0.41441
[238]   validation_0-logloss:0.41427
[239]   validation_0-logloss:0.41391
[240]   validation_0-logloss:0.41382
[241]   validation_0-logloss:0.41371
[242]   validation_0-logloss:0.41355
[243]   validation_0-logloss:0.41316
[244]   validation_0-logloss:0.41297
[245]   validation_0-logloss:0.41253
[246]   validation_0-logloss:0.41248
[247]   validation_0-logloss:0.41216
[248]   validation_0-logloss:0.41196
[249]   validation_0-logloss:0.41190
[250]   validation_0-logloss:0.41139
[251]   validation_0-logloss:0.41089
[252]   validation_0-logloss:0.41039
[253]   validation_0-logloss:0.41020
[254]   validation_0-logloss:0.40992
[255]   validation_0-logloss:0.40949
[256]   validation_0-logloss:0.40921
[257]   validation_0-logloss:0.40871
[258]   validation_0-logloss:0.40833
[259]   validation_0-logloss:0.40791
[260]   validation_0-logloss:0.40752
[261]   validation_0-logloss:0.40716
[262]   validation_0-logloss:0.40675
[263]   validation_0-logloss:0.40643
[264]   validation_0-logloss:0.40610
[265]   validation_0-logloss:0.40563
[266]   validation_0-logloss:0.40541
[267]   validation_0-logloss:0.40492
[268]   validation_0-logloss:0.40472
[269]   validation_0-logloss:0.40456
[270]   validation_0-logloss:0.40430
[271]   validation_0-logloss:0.40387
[272]   validation_0-logloss:0.40365
[273]   validation_0-logloss:0.40342
[274]   validation_0-logloss:0.40301
[275]   validation_0-logloss:0.40259
[276]   validation_0-logloss:0.40243
[277]   validation_0-logloss:0.40207
[278]   validation_0-logloss:0.40187
[279]   validation_0-logloss:0.40144
[280]   validation_0-logloss:0.40130
[281]   validation_0-logloss:0.40087
[282]   validation_0-logloss:0.40068
[283]   validation_0-logloss:0.40038
[284]   validation_0-logloss:0.40007
[285]   validation_0-logloss:0.39972
[286]   validation_0-logloss:0.39934
[287]   validation_0-logloss:0.39911
[288]   validation_0-logloss:0.39879
[289]   validation_0-logloss:0.39846
[290]   validation_0-logloss:0.39808
[291]   validation_0-logloss:0.39780
[292]   validation_0-logloss:0.39762
[293]   validation_0-logloss:0.39758
[294]   validation_0-logloss:0.39722
[295]   validation_0-logloss:0.39708
[296]   validation_0-logloss:0.39697
[297]   validation_0-logloss:0.39679
[298]   validation_0-logloss:0.39649
[299]   validation_0-logloss:0.39643
[300]   validation_0-logloss:0.39629
[301]   validation_0-logloss:0.39597
[302]   validation_0-logloss:0.39580
[303]   validation_0-logloss:0.39547
[304]   validation_0-logloss:0.39530
[305]   validation_0-logloss:0.39487
[306]   validation_0-logloss:0.39472
[307]   validation_0-logloss:0.39459
[308]   validation_0-logloss:0.39459
[309]   validation_0-logloss:0.39426
[310]   validation_0-logloss:0.39397
[311]   validation_0-logloss:0.39364
[312]   validation_0-logloss:0.39354
[313]   validation_0-logloss:0.39363
[314]   validation_0-logloss:0.39336
[315]   validation_0-logloss:0.39321
[316]   validation_0-logloss:0.39322
[317]   validation_0-logloss:0.39293
[318]   validation_0-logloss:0.39287
[319]   validation_0-logloss:0.39263
[320]   validation_0-logloss:0.39256
[321]   validation_0-logloss:0.39237
[322]   validation_0-logloss:0.39231
[323]   validation_0-logloss:0.39195
[324]   validation_0-logloss:0.39198
[325]   validation_0-logloss:0.39161
[326]   validation_0-logloss:0.39120
[327]   validation_0-logloss:0.39093
[328]   validation_0-logloss:0.39052
[329]   validation_0-logloss:0.39012
[330]   validation_0-logloss:0.38983
[331]   validation_0-logloss:0.38940
[332]   validation_0-logloss:0.38899
[333]   validation_0-logloss:0.38871
[334]   validation_0-logloss:0.38865
[335]   validation_0-logloss:0.38827
[336]   validation_0-logloss:0.38830
[337]   validation_0-logloss:0.38796
[338]   validation_0-logloss:0.38796
[339]   validation_0-logloss:0.38758
[340]   validation_0-logloss:0.38761
[341]   validation_0-logloss:0.38735
[342]   validation_0-logloss:0.38740
[343]   validation_0-logloss:0.38740
[344]   validation_0-logloss:0.38704
[345]   validation_0-logloss:0.38679
[346]   validation_0-logloss:0.38673
[347]   validation_0-logloss:0.38678
[348]   validation_0-logloss:0.38656
[349]   validation_0-logloss:0.38628
[350]   validation_0-logloss:0.38627
[351]   validation_0-logloss:0.38601
[352]   validation_0-logloss:0.38577
[353]   validation_0-logloss:0.38578
[354]   validation_0-logloss:0.38563
[355]   validation_0-logloss:0.38542
[356]   validation_0-logloss:0.38526
[357]   validation_0-logloss:0.38510
[358]   validation_0-logloss:0.38481
[359]   validation_0-logloss:0.38469
[360]   validation_0-logloss:0.38443
[361]   validation_0-logloss:0.38425
[362]   validation_0-logloss:0.38409
[363]   validation_0-logloss:0.38402
[364]   validation_0-logloss:0.38372
[365]   validation_0-logloss:0.38349
[366]   validation_0-logloss:0.38322
[367]   validation_0-logloss:0.38315
[368]   validation_0-logloss:0.38319
[369]   validation_0-logloss:0.38323
[370]   validation_0-logloss:0.38314
[371]   validation_0-logloss:0.38277
[372]   validation_0-logloss:0.38290
[373]   validation_0-logloss:0.38283
[374]   validation_0-logloss:0.38292
[375]   validation_0-logloss:0.38304
[376]   validation_0-logloss:0.38316
[377]   validation_0-logloss:0.38323
[378]   validation_0-logloss:0.38314
[379]   validation_0-logloss:0.38325
[380]   validation_0-logloss:0.38329
[381]   validation_0-logloss:0.38341
[382]   validation_0-logloss:0.38355
[383]   validation_0-logloss:0.38367
[384]   validation_0-logloss:0.38377
[385]   validation_0-logloss:0.38389
[386]   validation_0-logloss:0.38367
[387]   validation_0-logloss:0.38382
[388]   validation_0-logloss:0.38363
[389]   validation_0-logloss:0.38380
[390]   validation_0-logloss:0.38383
